Employee_ID,Part_Code,Defect_Count,Tools_Used,Training_Level,Experience_Level,Calibration_Count
1,C,2,4,Standardized,Experienced,3
2,D,1,4,Non-standardized,Inexperienced,2
3,A,1,4,Non-standardized,Experienced,4
4,C,1,4,Non-standardized,Inexperienced,1
5,C,1,4,Standardized,Experienced,4
6,D,1,3,Non-standardized,Inexperienced,1
7,A,1,2,Non-standardized,Experienced,3
8,A,2,4,Non-standardized,Experienced,1
9,C,2,1,Non-standardized,Experienced,3
10,B,1,1,Non-standardized,Experienced,1
11,C,2,1,Standardized,Experienced,3
12,C,0,1,Standardized,Inexperienced,1
13,C,1,3,Non-standardized,Inexperienced,2
14,C,0,1,Non-standardized,Experienced,1
15,D,0,4,Standardized,Experienced,1
16,A,1,5,Standardized,Experienced,2
17,D,2,1,Standardized,Inexperienced,4
18,D,0,3,Standardized,Experienced,4
19,D,1,3,Non-standardized,Experienced,1
20,C,0,1,Standardized,Experienced,2
21,B,0,5,Standardized,Experienced,1
22,A,0,1,Standardized,Experienced,3
23,B,0,3,Standardized,Experienced,3
24,D,2,2,Standardized,Inexperienced,1
25,D,0,4,Non-standardized,Experienced,4
26,B,0,3,Non-standardized,Experienced,4
27,B,0,1,Standardized,Experienced,1
28,B,2,4,Standardized,Experienced,1
29,D,0,1,Standardized,Inexperienced,3
30,D,0,1,Non-standardized,Experienced,4
31,A,2,2,Standardized,Experienced,1
32,A,2,4,Standardized,Experienced,3
33,D,2,4,Non-standardized,Experienced,4
34,B,0,2,Standardized,Inexperienced,2
35,B,2,3,Non-standardized,Experienced,3
36,A,2,1,Standardized,Experienced,4
37,D,0,5,Standardized,Experienced,4
38,A,2,1,Non-standardized,Experienced,3
39,A,0,1,Non-standardized,Experienced,2
40,C,1,3,Non-standardized,Experienced,3
41,C,2,1,Standardized,Experienced,4
42,C,1,2,Standardized,Experienced,1
43,B,0,2,Standardized,Inexperienced,1
44,D,2,4,Non-standardized,Experienced,3
45,D,0,5,Standardized,Experienced,4
46,D,1,1,Non-standardized,Inexperienced,1
47,D,0,1,Standardized,Inexperienced,4
48,C,2,3,Standardized,Experienced,3
49,B,2,2,Non-standardized,Experienced,1
50,B,1,5,Non-standardized,Experienced,4
51,C,0,4,Non-standardized,Experienced,1
52,B,2,2,Standardized,Inexperienced,3
53,C,1,4,Standardized,Inexperienced,4
54,D,2,3,Standardized,Experienced,1
55,C,2,3,Non-standardized,Experienced,3
56,D,0,1,Standardized,Inexperienced,1
57,D,2,5,Standardized,Experienced,1
58,A,0,4,Standardized,Experienced,2
59,C,2,2,Standardized,Experienced,2
60,A,1,3,Standardized,Experienced,3
61,C,2,1,Standardized,Inexperienced,2
62,C,0,1,Standardized,Inexperienced,3
63,A,0,4,Non-standardized,Inexperienced,2
64,A,1,3,Non-standardized,Experienced,1
65,C,2,5,Standardized,Inexperienced,3
66,B,2,3,Standardized,Experienced,3
67,D,1,4,Non-standardized,Experienced,1
68,A,2,4,Standardized,Experienced,3
69,D,2,3,Standardized,Inexperienced,3
70,B,0,4,Standardized,Inexperienced,2
71,B,2,3,Standardized,Experienced,3
72,B,2,2,Non-standardized,Inexperienced,4
73,A,1,3,Standardized,Experienced,1
74,B,1,3,Non-standardized,Experienced,2
75,A,0,4,Standardized,Experienced,2
76,B,2,4,Standardized,Experienced,4
77,D,2,1,Standardized,Experienced,1
78,D,2,1,Standardized,Experienced,1
79,C,0,2,Non-standardized,Experienced,2
80,D,0,1,Standardized,Experienced,3
81,C,1,3,Standardized,Experienced,2
82,D,0,4,Non-standardized,Experienced,1
83,A,2,1,Standardized,Experienced,4
84,D,2,1,Standardized,Experienced,2
85,C,0,2,Standardized,Experienced,1
86,C,2,2,Standardized,Experienced,2
87,B,2,3,Non-standardized,Experienced,3
88,A,0,4,Standardized,Experienced,2
89,D,0,2,Standardized,Inexperienced,2
90,B,2,1,Standardized,Experienced,1
91,D,2,4,Non-standardized,Experienced,1
92,D,2,4,Standardized,Inexperienced,1
93,B,1,1,Standardized,Experienced,2
94,B,1,2,Non-standardized,Experienced,3
95,B,1,1,Non-standardized,Experienced,4
96,B,0,4,Non-standardized,Experienced,4
97,B,1,5,Standardized,Inexperienced,1
98,D,0,5,Standardized,Experienced,1
99,B,0,3,Standardized,Experienced,2
100,A,1,1,Standardized,Experienced,4
